"","hsCodeId","panjivaRecordId","hsCode"
"204",1178690,32704463,"870323; 8703.23,8703.23,8703.23,8703.23"
"205",3200735,34425223,"; [""Parsed: 0802.11.00.00""]"
"206",3200736,34424943,"; [""Parsed: 0802.51""]"
"207",3200737,34424963,"; ; [""Parsed: 0802.12.00.00""]"
"208",3200738,34426483,"; [""Parsed: 8531.90""]"
"209",3200739,34426543,"; [""Parsed: 3907.40.00.00""]"
"210",1178697,32704103,"870323; 870324; 871499; 8714.99 8703.24 8703.23,8703.24 8703.23,8714.99 8703.24 8703.23"
"211",3200740,34426863,"; ; ; ; [""Classified: 3811.21""]"
"212",3200741,34426943,"; [""Classified: 8703.23""]"
"213",3200742,34426963,"; [""Classified: 2004.10""]"
"214",3200743,34426983,"; [""Parsed: 3901.10.50.20""]"
"215",3200744,34427263,"; ; ; ; ; [""Parsed: 3917.32; Parsed: 3917.40; Parsed: 3923.50; Parsed: 3926.30; Parsed: 7009.10; Parsed: 7307.99; Parsed: 7318.15; Parsed: 8301.60; Parsed: 8302.10; Parsed: 8302.30; Parsed: 8481.80; Parsed: 8501.31; Parsed: 8536.70; Parsed: 8543.70; Parsed: 8708.29; Parsed: 8708.80; Parsed: 8708.99""]"
"216",3200745,34427283,"; [""Classified: 2836.30""]"
"217",3200746,34427323,"; [""Classified: 7204.49""]"
"218",1178705,32705683,"220600; 220870; 2206.00 2208.70"
"219",1178706,32705703,"220840; 220890; 2208.90 2208.40"
"220",1178707,32705723,"230110; 230990; 160239; 230110; 160239; 230110; 160239; 230110; 160239; 230110; 160239; 230110; 160239; 230110; 160239; 230110; 2309.90 2301.10, 2301.10 1602.39, 2301.10 1602.39, 2301.10 1602.39, 2301.10 1602.39, 2301.10 1602.39, 2301.10 1602.39, 2301.10 1602.39"
"221",3200747,34427423,"; [""Classified: 0203.29; Parsed: 0206.49""]"
"222",1178709,32705763,"020714; 0207.14"
"223",3200748,34427623,"; [""Parsed: 4818.20.00.20; Classified: 4819.10""]"
"224",1178711,32705803,"271019; 3402195000; 3808912501; 381300; 842490; 843149; 848340; 3808.91.25.01,3813.00 8424.90,3402.19.50.00 2710.19,8483.40,,8431.49,"
"225",3200749,34427663,"; [""Classified: 4703.21; Parsed: 4818.20.00.20""]"
"226",3200750,34427683,"; [""Parsed: 4818.20.00.20; Classified: 4819.10""]"
"227",1178714,32705883,"470710; 470710; 470790; 4707.10, 4707.90 4707.10"
"228",1178715,32705923,"420329; 6309000000; 6309.00.00.00 4203.29"
"229",1178716,32705903,"720410; 720429; 7204.10, 7204.29"
"230",3200751,34427703,"; [""Parsed: 4818.20.00.20; Classified: 4819.10""]"
"231",3200752,34427723,"; [""Classified: 4703.21; Parsed: 4818.20.00.20""]"
"232",3200753,34427743,"; [""Parsed: 4818.20.00.20; Classified: 4819.10""]"
"233",3200754,34427763,"; [""Parsed: 4818.20.00.20; Classified: 4819.10""]"
"234",3200755,34427783,"; [""Parsed: 4818.20.00.20; Classified: 4819.10""]"
"235",3200756,34427803,"; [""Classified: 4703.21; Parsed: 4818.20.00.20""]"
"236",3200757,34427823,"; [""Classified: 4703.21; Parsed: 4818.20.00.20""]"
"237",3200758,34427843,"; [""Parsed: 4818.20.00.20; Classified: 4819.10""]"
"238",3200759,34427863,"; [""Parsed: 4818.20.00.20; Classified: 4819.10""]"
"239",3200760,34428603,"; [""Parsed: 3808.91""]"
"240",3200761,34428623,"; [""Classified: 2106.90""]"
"241",3200762,34428663,"; ; [""Classified: 2710.19""]"
"242",3200763,34428743,"; [""Classified: 6309.00""]"
"243",3200764,34428783,"; [""Classified: 0806.10""]"
"244",3200765,34428803,"; ; ; [""Classified: 4707.20""]"
"245",3200766,34428823,"; [""Classified: 8528.72""]"
"246",3200767,34428983,"; [""Parsed: 9401.61; Parsed: 9401.69; Parsed: 9401.71; Parsed: 9403.60""]"
"247",1178735,32694401,"390140; 390190; 390190; 390190; 390190; 390190; 390190; 390190; 390190; 390190; 390190; 3901.90 3901.40, 3901.90, 3901.90, 3901.90, 3901.90, 3901.90, 3901.90, 3901.90, 3901.90, 3901.90"
"248",3200768,34443763,"; [""Classified: 6309.00""]"
"249",3200769,34443843,"; [""Parsed: 9401.30; Parsed: 9401.61; Parsed: 9401.69; Parsed: 9401.71; Parsed: 9403.20; Parsed: 9403.50; Parsed: 9403.60""]"
"250",3200770,34443963,"; [""Classified: 6309.00""]"
"251",1178741,32694881,"220421; 2204.21"
"252",1178743,32694921,"080232; 0802.32"
"253",3200771,34443983,"; [""Parsed: 9401.61; Parsed: 9401.69; Parsed: 9401.71; Parsed: 9403.60""]"
"254",3200773,34324083,"; [""Classified: 5903.10""]"
"255",1178747,32695701,"382478; 3824.78"
"256",1178748,32695621,"390799; 390799; 390799; 390799; 390799; 390799; 3907.99, 3907.99, 3907.99, 3907.99, 3907.99, 3907.99"
"257",3200774,34324103,"; ; [""Classified: 7404.00""]"
"258",1178750,32695721,"381121; 381121; 381121; 3811.21, 3811.21, 3811.21"
"259",1178751,32695741,"390110; 3901.10"
"260",3200775,34324203,"; ; ; ; ; ; [""Classified: 4707.10""]"
"261",1178754,32695821,"390720; 390720; 390720; 390720; 390720; 390720; 3907.20, 3907.20, 3907.20, 3907.20, 3907.20, 3907.20"
"262",3200776,34327283,"Classified: 4407.97"
"263",1178756,32695861,"293339; 2933.39"
